name,start,duration,init_time,wait_time
mergeruns,1607895608997,744,744,355
mergeruns,1607895609076,662,662,330
mergeruns,1607895610562,151,151,1814
tripleAndIncrement,1607895610785,149,141,2011
composition,1607895610910,11,11,2076
composition,1607895611166,11,11,2340
branchVanilla,1607895611252,50,43,2492
branchJsToPython,1607895611515,44,44,2865
branchJsToPython,1607895611579,47,47,2932
branchJsToPython,1607895611643,62,62,2949
composition,1607895611678,19,19,2842
composition,1607895612059,14,14,3349
branchVanilla,1607895613817,212,202,5017
tripleAndIncrement,1607895613993,157,147,5236
mergeruns,1607895613997,149,149,5209
branchVanilla,1607895614086,207,194,5404
branchVanilla,1607895614113,4,0,5437
branchVanilla,1607895614202,6,0,5452
composition,1607895614288,11,11,5591
branchJsToPython,1607895614352,56,56,5686
branchJsToPython,1607895614463,54,54,5591
composition,1607895614748,8,8,5876
composition,1607895614811,15,15,5925
composition,1607895614921,7,7,6027
tripleAndIncrement,1607895616209,195,186,7355
branchJsToPython,1607895616554,38,38,7586
tripleAndIncrement,1607895616792,75,58,7823
composition,1607895617345,405,405,8415
branchVanilla,1607895617456,154,147,8533
composition,1607895617778,188,188,8754
composition,1607895618041,365,365,9081
branchJsToPython,1607895618475,187,187,9480
branchVanilla,1607895618586,45,35,9543
branchVanilla,1607895618733,4,0,9685
tripleAndIncrement,1607895618886,78,72,9796
branchVanilla,1607895619343,144,137,10308
branchVanilla,1607895619593,2,0,10490
tripleAndIncrement,1607895619663,100,91,10639
tripleAndIncrement,1607895619874,9,0,10760
tripleAndIncrement,1607895620017,3,0,10875
composition,1607895620251,8,8,11083
branchJsToPython,1607895620484,100,100,11394
composition,1607895620487,7,7,11281
branchJsToPython,1607895620647,38,38,11549
branchVanilla,1607895620762,45,37,11549
tripleAndIncrement,1607895620832,49,38,11614
branchVanilla,1607895621037,3,0,11775
mergeruns,1607895621221,95,95,12105
composition,1607895621308,11,11,12020
branchVanilla,1607895622695,153,145,13465
mergeruns,1607895622925,206,206,13655
branchJsToPython,1607895623021,46,46,13670
branchVanilla,1607895623056,211,196,13708
mergeruns,1607895623252,108,108,13949
mergeruns,1607895623318,40,40,13957
composition,1607895623369,17,17,14004
branchJsToPython,1607895624975,140,140,15609
tripleAndIncrement,1607895625078,153,145,15691
tripleAndIncrement,1607895625136,154,147,15738
branchVanilla,1607895625237,44,36,15809
branchVanilla,1607895625344,154,146,15945
branchJsToPython,1607895625418,49,49,15952
tripleAndIncrement,1607895625426,3,0,15935
composition,1607895625782,9,9,16215
mergeruns,1607895626965,152,152,17471
tripleAndIncrement,1607895626994,111,102,17482
branchJsToPython,1607895627076,201,201,17563
branchJsToPython,1607895627284,89,89,17709
composition,1607895627297,9,9,17686
mergeruns,1607895627362,39,39,17723
branchJsToPython,1607895627485,40,40,17829
mergeruns,1607895628997,137,137,19317
tripleAndIncrement,1607895629265,51,42,19531
mergeruns,1607895629399,105,105,19713
branchJsToPython,1607895629492,167,167,19800
tripleAndIncrement,1607895629494,203,195,19722
mergeruns,1607895629550,51,51,19797
composition,1607895629660,8,8,19851
composition,1607895629827,21,21,20016
mergeruns,1607895631497,138,138,21600
branchJsToPython,1607895631669,143,143,21843
branchJsToPython,1607895631729,201,201,21877
mergeruns,1607895631758,210,210,21939
mergeruns,1607895631795,40,40,21893
tripleAndIncrement,1607895631937,44,38,22015
composition,1607895632223,8,8,22172
tripleAndIncrement,1607895633360,145,137,23370
mergeruns,1607895633545,155,155,23569
mergeruns,1607895633672,44,44,23501
branchVanilla,1607895633774,108,95,23696
branchVanilla,1607895633905,48,41,23727
tripleAndIncrement,1607895634075,62,48,23975
branchVanilla,1607895635220,137,131,25044
branchJsToPython,1607895635366,142,142,25154
tripleAndIncrement,1607895635465,45,36,25211
mergeruns,1607895635677,44,44,25419
branchJsToPython,1607895635821,109,109,25611
branchVanilla,1607895635862,60,52,25621
tripleAndIncrement,1607895636860,133,128,26569
mergeruns,1607895636913,131,131,26641
